ID,Species Name
66125,Acheilognathus intermedia
61168,Acheilognathus kyphus
55149,Acheilognathus longibarbatus
9528,Acheilognathus longipinnis
58200,Acheilognathus macromandibularis
54380,Acheilognathus macropterus
59969,Acheilognathus majusculus
25817,Acheilognathus melanogaster
56321,Acheilognathus meridianus
56320,Acheilognathus microphysa
67550,Acheilognathus nguyenvanhaoi
55890,Acheilognathus omeiensis
61918,Acheilognathus peihoensis
55892,Acheilognathus polylepis
55148,Acheilognathus polyspinus
22891,Acheilognathus rhombeus
65458,Acheilognathus striatus
22892,Acheilognathus tabira
61857,Acheilognathus taenianalis
54709,Acheilognathus tonkinensis
22897,Acheilognathus typus
25607,Acheilognathus yamatsutae
25162,Achiroides leucorhynchos
25164,Achiroides melanorhynchus
7119,Achiropsetta tricholepis
7572,Achirus achirus
52941,Achirus declivis
13429,Achirus klunzingeri
4256,Achirus lineatus
10429,Achirus mazatlanus
64929,Achirus mucuri
57101,Achirus novoae
13434,Achirus scutum
52950,Achirus zebrinus
14420,Achoerodus gouldii
50808,Achoerodus viridis
23608,Achondrostoma arcasii
62633,Achondrostoma occidentale
23609,Achondrostoma oligolepis
63837,Achondrostoma salmantinum
56582,Acinocheirodon melanogramma
4683,Acipenser baerii
2590,Acipenser brevirostrum
8737,Acipenser dabryanus
2591,Acipenser fulvescens
4712,Acipenser gueldenstaedtii
2592,Acipenser medirostris
9762,Acipenser mikadoi
2504,Acipenser naccarii
2505,Acipenser nudiventris
2593,Acipenser oxyrinchus
9763,Acipenser persicus
4604,Acipenser ruthenus
6085,Acipenser schrenckii
8762,Acipenser sinensis
2065,Acipenser stellatus
2066,Acipenser sturio
2594,Acipenser transmontanus
26526,Acnodon normani
28029,Acnodon oligacanthus
52504,Acnodon senai
24250,Acreichthys hajam
7974,Acreichthys radiatus
7849,Acreichthys tomentosus
51078,Acrobrycon ipanquianus
67891,Acrobrycon ortii
67890,Acrobrycon starnesi
2741,Acrocheilus alutaceus
23294,Acrochordonichthys chamaeleon
58361,Acrochordonichthys falcifer
58357,Acrochordonichthys guttatus
61549,Acrochordonichthys gyrinus
23295,Acrochordonichthys ischnosoma
58358,Acrochordonichthys mahakamensis
58362,Acrochordonichthys pachyderma
23304,Acrochordonichthys rugosus
58359,Acrochordonichthys septentrionalis
58360,Acrochordonichthys strigosus
58525,Acromycter alcocki
58526,Acromycter atlanticus
63064,Acromycter longipectoralis
23291,Acromycter nezumi
58562,Acromycter perturbator
59893,Acropoma argentistigma
59419,Acropoma boholensis
9232,Acropoma hanedai
1267,Acropoma japonicum
59169,Acropoma lecorneti
67353,Acropoma profundum
61700,Acrossocheilus aluoiensis
62800,Acrossocheilus baolacensis
54946,Acrossocheilus beijiangensis
54949,Acrossocheilus clivosius
55156,Acrossocheilus fasciatus
54939,Acrossocheilus hemispinus
54951,Acrossocheilus ikedai
54948,Acrossocheilus iridescens
60486,Acrossocheilus jishouensis
55158,Acrossocheilus kreyenbergii
61169,Acrossocheilus lamus
14442,Acrossocheilus longipinnis
62801,Acrossocheilus macrophthalmus
62843,Acrossocheilus malacopterus
67450,Acrossocheilus microstoma
55155,Acrossocheilus monticola
67584,Acrossocheilus multistriatus
17291,Acrossocheilus paradoxus
54938,Acrossocheilus parallens
54947,Acrossocheilus rendahli
62841,Acrossocheilus spinifer
54940,Acrossocheilus wenchowensis
